일시,발전구분,지역,지점번호,합산발전량(MWh),기온(°C),강수량(mm),일조(hr),일사(MJ/m2),__dt__,hour,dayofweek,month,is_weekend,hour_sin,hour_cos,month_sin,month_cos,_y_true,_y_pred,_residual,_abs_err,_is_outlier,_rule
2023-09-02 08:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,22.2,0.0,0.0,0.0,2023-09-02 08:00:00,8,5,9,1,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16,0.0,7190.1826,-7190.1826171875,7190.1826171875,1,abs_err > mean+3σ (thr=2124.489)
2023-09-02 09:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,22.5,0.2,0.0,0.0,2023-09-02 09:00:00,9,5,9,1,0.7071067811865476,-0.7071067811865475,-1.0,-1.8369701987210297e-16,0.0,6089.6265,-6089.62646484375,6089.62646484375,1,abs_err > mean+3σ (thr=2124.489)
2023-09-02 10:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,23.2,0.0,0.0,0.0,2023-09-02 10:00:00,10,5,9,1,0.49999999999999994,-0.8660254037844387,-1.0,-1.8369701987210297e-16,0.0,8314.99,-8314.990234375,8314.990234375,1,abs_err > mean+3σ (thr=2124.489)
2023-09-02 11:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,22.5,0.8,0.0,0.0,2023-09-02 11:00:00,11,5,9,1,0.258819045102521,-0.9659258262890682,-1.0,-1.8369701987210297e-16,0.0,6117.8584,-6117.8583984375,6117.8583984375,1,abs_err > mean+3σ (thr=2124.489)
2023-09-02 12:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,23.2,1.3,0.0,0.0,2023-09-02 12:00:00,12,5,9,1,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210297e-16,0.0,6491.6855,-6491.685546875,6491.685546875,1,abs_err > mean+3σ (thr=2124.489)
2023-09-02 13:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,24.5,0.0,0.0,0.0,2023-09-02 13:00:00,13,5,9,1,-0.2588190451025208,-0.9659258262890683,-1.0,-1.8369701987210297e-16,0.0,8623.007,-8623.0068359375,8623.0068359375,1,abs_err > mean+3σ (thr=2124.489)
2023-09-02 14:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,26.5,0.0,0.5,0.0,2023-09-02 14:00:00,14,5,9,1,-0.4999999999999997,-0.8660254037844388,-1.0,-1.8369701987210297e-16,0.0,10096.885,-10096.884765625,10096.884765625,1,abs_err > mean+3σ (thr=2124.489)
2023-09-02 15:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,25.4,0.0,0.5,0.0,2023-09-02 15:00:00,15,5,9,1,-0.7071067811865471,-0.7071067811865479,-1.0,-1.8369701987210297e-16,0.0,9422.583,-9422.5830078125,9422.5830078125,1,abs_err > mean+3σ (thr=2124.489)
2023-09-02 16:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,26.5,0.0,0.3,0.0,2023-09-02 16:00:00,16,5,9,1,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,0.0,8839.558,-8839.5576171875,8839.5576171875,1,abs_err > mean+3σ (thr=2124.489)
2023-09-02 17:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,26.2,0.0,0.4,0.0,2023-09-02 17:00:00,17,5,9,1,-0.9659258262890683,-0.25881904510252063,-1.0,-1.8369701987210297e-16,0.0,3837.4653,-3837.46533203125,3837.46533203125,1,abs_err > mean+3σ (thr=2124.489)
